strain_name	domestic_wild	pubmed_id
A/chicken/Guiyang/217/2006	domestic	17075062
A/chicken/Guiyang/2173/2005	domestic	17075062
A/chicken/Guiyang/237/2006	domestic	17075062
A/chicken/Guiyang/2872/2006	domestic	17075062
A/chicken/Guiyang/29/2006	domestic	17075062
A/chicken/Guiyang/3055/2005	domestic	17075062
A/chicken/Guiyang/3193/2006	domestic	17075062
A/chicken/Guiyang/3194/2006	domestic	17075062
A/chicken/Guiyang/3199/2006	domestic	17075062
A/chicken/Guiyang/3312/2005	domestic	17075062
A/chicken/Guiyang/3570/2005	domestic	17075062
A/chicken/Guiyang/3721/2005	domestic	17075062
A/chicken/Guiyang/3923/2005	domestic	17075062
A/chicken/Guiyang/4059/2005	domestic	17075062
A/chicken/Guiyang/441/2006	domestic	17075062
A/chicken/Guiyang/846/2006	domestic	17075062
A/chicken/HongKong/282/2006	domestic	17075062
A/chicken/HongKong/947/2006	domestic	17075062
A/chicken/Hunan/2246/2006	domestic	17075062
A/chicken/Hunan/2292/2006	domestic	17075062
A/chicken/Shantou/1233/2006	domestic	17075062
A/chicken/Shantou/3840/2006	domestic	17075062
A/chicken/Shantou/3923/2006	domestic	17075062
A/chicken/Yunnan/3225/2006	domestic	17075062
A/duck/Fujian/10160/2005	domestic	17075062
A/duck/Fujian/10358/2005	domestic	17075062
A/duck/Fujian/10389/2005	domestic	17075062
A/duck/Fujian/10934/2005	domestic	17075062
A/duck/Fujian/11094/2005	domestic	17075062
A/duck/Fujian/11171/2005	domestic	17075062
A/duck/Fujian/11311/2005	domestic	17075062
A/duck/Fujian/12032/2005	domestic	17075062
A/duck/Fujian/3766/2006	domestic	17075062
A/duck/Fujian/3814/2006	domestic	17075062
A/duck/Fujian/3834/2006	domestic	17075062
A/duck/Fujian/3985/2006	domestic	17075062
A/duck/Fujian/4005/2006	domestic	17075062
A/duck/Fujian/5224/2006	domestic	17075062
A/duck/Fujian/5258/2006	domestic	17075062
A/duck/Fujian/5425/2006	domestic	17075062
A/duck/Fujian/5445/2006	domestic	17075062
A/duck/Fujian/668/2006	domestic	17075062
A/duck/Fujian/671/2006	domestic	17075062
A/duck/Fujian/720/2006	domestic	17075062
A/duck/Fujian/9651/2005	domestic	17075062
A/duck/Fujian/9696/2005	domestic	17075062
A/duck/Fujian/9713/2005	domestic	17075062
A/duck/Fujian/9731/2005	domestic	17075062
A/duck/Guangxi/1063/2006	domestic	17075062
A/duck/Guangxi/124/2006	domestic	17075062
A/duck/Guangxi/1258/2006	domestic	17075062
A/duck/Guangxi/134/2006	domestic	17075062
A/duck/Guangxi/143/2006	domestic	17075062
A/duck/Guangxi/1436/2006	domestic	17075062
A/duck/Guangxi/150/2006	domestic	17075062
A/duck/Guangxi/1550/2006	domestic	17075062
A/duck/Guangxi/1830/2006	domestic	17075062
A/duck/Guangxi/1919/2006	domestic	17075062
A/duck/Guangxi/1979/2006	domestic	17075062
A/duck/Guangxi/2016/2006	domestic	17075062
A/duck/Guangxi/2020/2006	domestic	17075062
A/duck/Guangxi/2042/2006	domestic	17075062
A/duck/Guangxi/2143/2006	domestic	17075062
A/duck/Guangxi/264/2006	domestic	17075062
A/duck/Guangxi/2775/2005	domestic	17075062
A/duck/Guangxi/288/2006	domestic	17075062
