strain_name	domestic_wild	pubmed_id
A/mute_swan/Hungary/3472/2006	wild	19520524
A/mute_swan/Hungary/4571/2006	wild	19520524
A/muteswan/Hungary/3472/2006	wild	19520524
A/muteswan/Hungary/4571/2006	wild	19520524

A/commonpochard/France/06167-21/2006	wild	18202945
A/greylaggoose/France/06310/2006	wild	18202945
A/muteswan/France/06299/2006	wild	18202945
A/muteswan/France/06631a/2006	wild	18202945
A/turkey/France/06222-11/2006	domestic	18202945

A/chicken/Korea/CA7/2006	domestic	18325269
A/chicken/Korea/IS/2006	domestic	18325269
A/chicken/Korea/IS2/2006	domestic	18325269
A/chicken/Korea/IS3/2006	domestic	18325269
A/duck/Korea/Asan5/2006	domestic	18325269
A/duck/Korea/Asan6/2006	domestic	18325269
A/environment/Korea/W149/2006	environment	18325269
A/environment/Korea/W150/2006	environment	18325269
A/quail/Korea/KJ4/2006	domestic	18325269
